x	shape	net	y	bbox	object_class	object_type	object_name	object_layer	object_net	object_bbox
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_21_8216	M6	n140054	{94.7560 817.6680} {94.8120 900.4120}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_17_44841	M4	n132922	{94.7560 864.7880} {94.8120 868.7960}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_17_140687	M4	ZBUF_79_1085	{95.0600 862.0520} {95.1160 879.7400}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_15_167853	M3	n52318	{93.8440 867.8280} {99.6760 867.8840}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_13_379135	M2	n52448	{95.0600 867.5240} {95.1160 873.4830}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_13_379136	M2	n52448	{95.0600 867.5240} {95.2680 867.5800}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_13_379137	M2	n52448	{95.2120 865.3960} {95.2680 867.5800}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_15_565502	M3	ZBUF_1071_2536	{93.0840 867.5240} {94.8120 867.5800}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_13_1047167	M2	ZBUF_1071_2536	{94.7560 867.5240} {94.8120 873.5080}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	shape	PATH_13_1047168	M2	ZBUF_1071_2536	{94.7560 857.4920} {94.8120 867.5800}
95.0	PATH_11_507	VSS	867.704	{94.75 867.454} {95.25 867.954}	signal	via	VIA_S_1775838	VIA23SQ_C	ZBUF_1071_2536	{94.7290 867.4970} {94.8390 867.6070}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	shape	PATH_13_24	M2	VSS	{99.8000 10.0000} {100.2000 1198.7280}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	shape	PATH_23_53	M7	VSS	{10.0000 867.5000} {1199.3360 868.5000}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8540	VIA78LG_C	VSS	{99.5480 867.5730} {100.4520 868.4270}
100.0	PATH_11_507	VSS	867.704	{99.75 867.454} {100.25 867.954}	pg	via	VIA_SA_8541	VIA23LG_C	VSS	{99.8270 867.5730} {100.1730 868.4270}
