x	shape	net	y	bbox	object_type	object_name	object_layer	object_net	object_bbox
70.0	PATH_11_555	VSS	947.96	{69.75 947.71} {70.25 948.21}	shape	PATH_17_16027	M4	n59650	{69.8280 947.7800} {69.8840 959.9960}
70.0	PATH_11_555	VSS	947.96	{69.75 947.71} {70.25 948.21}	shape	PATH_19_76816	M5	ZBUF_1044_2029	{61.9240 947.7800} {75.9640 947.8360}
70.0	PATH_11_555	VSS	947.96	{69.75 947.71} {70.25 948.21}	shape	PATH_15_178394	M3	n59650	{69.8280 947.7800} {70.7960 947.8360}
70.0	PATH_11_555	VSS	947.96	{69.75 947.71} {70.25 948.21}	shape	PATH_13_883601	M2	ZBUF_1516_95	{69.9800 945.0440} {70.0360 951.4840}
70.0	PATH_11_579	VSS	988.088	{69.75 987.838} {70.25 988.338}	shape	PATH_13_393777	M2	n57233	{69.6760 987.9080} {69.8840 987.9640}
70.0	PATH_11_579	VSS	988.088	{69.75 987.838} {70.25 988.338}	shape	PATH_13_393778	M2	n57233	{69.8280 986.6920} {69.8840 987.9640}
80.0	PATH_11_483	VSS	827.576	{79.75 827.326} {80.25 827.826}	shape	PATH_17_59289	M4	n138894	{80.1640 824.3560} {80.2200 827.7560}
80.0	PATH_11_483	VSS	827.576	{79.75 827.326} {80.25 827.826}	shape	PATH_17_59309	M4	n138897	{79.8600 827.0920} {79.9160 831.1000}
80.0	PATH_11_483	VSS	827.576	{79.75 827.326} {80.25 827.826}	shape	PATH_19_70991	M5	ZBUF_28_1173	{71.9560 827.3960} {86.3000 827.4520}
80.0	PATH_11_483	VSS	827.576	{79.75 827.326} {80.25 827.826}	shape	PATH_15_349782	M3	n137971	{73.9320 827.3960} {82.8040 827.4520}
80.0	PATH_11_483	VSS	827.576	{79.75 827.326} {80.25 827.826}	shape	PATH_15_359421	M3	n138894	{80.1640 827.7000} {84.1720 827.7560}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_17_15951	M4	n59514	{80.1640 848.9800} {80.2200 868.1880}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_17_20760	M4	n76151	{79.8600 863.8760} {79.9160 868.1880}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_21_23477	M6	ZBUF_115_3369	{80.1640 865.0920} {80.2200 869.4040}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_15_163869	M3	n49204	{78.6440 867.8280} {86.3000 867.8840}
80.0	PATH_11_507	VSS	867.704	{79.75 867.454} {80.25 867.954}	shape	PATH_15_461673	M3	ZBUF_1720_92	{77.7320 867.5240} {86.9080 867.5800}
80.0	PATH_11_531	VSS	907.832	{79.75 907.582} {80.25 908.082}	shape	PATH_15_523471	M3	ZBUF_66_1638	{77.7320 907.6520} {83.4120 907.7080}
80.0	PATH_11_531	VSS	907.832	{79.75 907.582} {80.25 908.082}	shape	PATH_15_561894	M3	ZBUF_643_2519	{78.6440 907.9560} {80.5240 908.0120}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_19_76817	M5	ZBUF_1044_2029	{75.9080 947.7800} {84.1720 947.8360}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_17_130539	M4	ZBUF_1711_96	{80.1640 941.3960} {80.2200 961.2120}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_17_140228	M4	ZBUF_2526_1080	{79.8600 934.7080} {79.9160 948.1400}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_15_493809	M3	ZBUF_2526_1080	{78.9480 948.0840} {79.9160 948.1400}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_15_493811	M3	ZBUF_2526_1080	{79.8600 948.0840} {81.5880 948.1400}
80.0	PATH_11_555	VSS	947.96	{79.75 947.71} {80.25 948.21}	shape	PATH_15_547311	M3	ZBUF_322_2049	{79.4040 947.7800} {83.1080 947.8360}
80.0	PATH_11_579	VSS	988.088	{79.75 987.838} {80.25 988.338}	shape	PATH_21_1315	M6	n56858	{80.1640 972.1000} {80.2200 991.0040}
80.0	PATH_11_579	VSS	988.088	{79.75 987.838} {80.25 988.338}	shape	PATH_17_15322	M4	n57319	{80.1640 984.2600} {80.2200 987.9640}
80.0	PATH_11_579	VSS	988.088	{79.75 987.838} {80.25 988.338}	shape	PATH_19_18486	M5	n132858	{74.6920 987.9080} {94.8120 987.9640}
80.0	PATH_11_579	VSS	988.088	{79.75 987.838} {80.25 988.338}	shape	PATH_15_174654	M3	n57157	{79.1000 988.2120} {80.3720 988.2680}
80.0	PATH_11_579	VSS	988.088	{79.75 987.838} {80.25 988.338}	shape	PATH_15_175018	M3	n57319	{80.1640 987.9080} {80.8280 987.9640}
90.0	PATH_11_483	VSS	827.576	{89.75 827.326} {90.25 827.826}	shape	PATH_21_17553	M6	ZBUF_154_2047	{89.8920 792.7400} {89.9480 883.9960}
90.0	PATH_11_483	VSS	827.576	{89.75 827.326} {90.25 827.826}	shape	PATH_19_62769	M5	ZBUF_989_92	{89.5880 827.3960} {106.3640 827.4520}
90.0	PATH_11_483	VSS	827.576	{89.75 827.326} {90.25 827.826}	shape	PATH_15_201840	M3	n76131	{89.5880 827.7000} {90.7080 827.7560}
90.0	PATH_11_483	VSS	827.576	{89.75 827.326} {90.25 827.826}	shape	PATH_13_885865	M2	ZBUF_1514_101	{89.7400 813.2600} {89.7960 832.0120}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_17_13852	M4	n52498	{89.8920 866.6120} {89.9480 873.6600}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_21_17553	M6	ZBUF_154_2047	{89.8920 792.7400} {89.9480 883.9960}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_19_68280	M5	ZBUF_20_1066	{64.3560 867.5240} {91.1640 867.5800}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_17_155206	M4	ZBUF_1812_2034	{90.1960 865.0920} {90.2520 889.7720}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_15_360139	M3	n138980	{87.4600 867.8280} {91.9240 867.8840}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_13_379113	M2	n52443	{89.8920 866.9160} {89.9480 871.8360}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_13_379405	M2	n52517	{90.0440 865.3960} {90.1000 868.4920}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_13_736554	M2	n138896	{89.7400 866.7640} {89.7960 878.2200}
90.0	PATH_11_507	VSS	867.704	{89.75 867.454} {90.25 867.954}	shape	PATH_13_1038207	M2	ZBUF_455_2509	{90.1960 863.4200} {90.2520 868.3400}
90.0	PATH_11_531	VSS	907.832	{89.75 907.582} {90.25 908.082}	shape	PATH_17_59393	M4	n138907	{90.1960 906.7400} {90.2520 912.2680}
90.0	PATH_11_531	VSS	907.832	{89.75 907.582} {90.25 908.082}	shape	PATH_19_94841	M5	ZBUF_880_3446	{89.2840 907.6520} {92.6840 907.7080}
90.0	PATH_11_531	VSS	907.832	{89.75 907.582} {90.25 908.082}	shape	PATH_15_167838	M3	n52304	{89.4360 907.9560} {93.5960 908.0120}
90.0	PATH_11_555	VSS	947.96	{89.75 947.71} {90.25 948.21}	shape	PATH_17_8590	M4	n31250	{89.8920 941.7000} {89.9480 954.5240}
90.0	PATH_11_555	VSS	947.96	{89.75 947.71} {90.25 948.21}	shape	PATH_21_18741	M6	ZBUF_643_2519	{89.8920 914.9480} {89.9480 961.2120}
90.0	PATH_11_555	VSS	947.96	{89.75 947.71} {90.25 948.21}	shape	PATH_19_27212	M5	n139965	{88.0680 947.7800} {92.0760 947.8360}
90.0	PATH_11_555	VSS	947.96	{89.75 947.71} {90.25 948.21}	shape	PATH_17_61416	M4	n139394	{90.1960 933.7960} {90.2520 950.5720}
90.0	PATH_11_555	VSS	947.96	{89.75 947.71} {90.25 948.21}	shape	PATH_13_314078	M2	n31291	{90.0440 944.4360} {90.1000 948.5960}
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	shape	PATH_19_18486	M5	n132858	{74.6920 987.9080} {94.8120 987.9640}
90.0	PATH_11_579	VSS	988.088	{89.75 987.838} {90.25 988.338}	shape	PATH_15_174972	M3	n57301	{88.9800 987.9080} {90.8600 987.9640}
