id	type_name	layers	bbox	objects	actual_spacing	required_spacing	required_width	brief_info	verbose_info	status
585	Off-grid	M1	{439.0090 920.4180} {439.1190 920.4780}	n25880						error
586	Diff net spacing	M1	{597.2160 911.6790} {597.3760 911.7620}	n131582						error
587	Needs fat contact	M1,M2	{20.5780 930.4250} {20.6380 930.5350}	n52265						error
588	Needs fat contact	M1,M2	{22.4020 927.0810} {22.4620 927.1910}	n52262						error
589	Diff net spacing	M1	{50.6240 923.9660} {50.7840 924.0490}	n52972						error
590	Diff net spacing	M1	{76.1600 921.7110} {76.3200 921.7940}	n52997						error
591	Needs fat contact	M1,M2	{193.4020 921.9130} {193.4620 922.0230}	n43794						error
592	Needs fat contact	M1,M2	{232.0100 928.6010} {232.0700 928.7110}	n131490						error
593	Off-grid	M2	{245.6380 921.7100} {245.7480 921.9220}	n22068						error
594	Off-grid	VIA1	{245.6680 921.7150} {245.7180 921.9170}	n22068						error
595	Diff net spacing	M1	{263.5760 927.3100} {263.7360 927.3930}	n21992						error
596	Diff net spacing	M1	{254.4560 931.7430} {254.6160 931.8260}	ZBUF_596_2370						error
597	Off-grid	M1	{424.7210 928.4740} {424.8310 928.5340}	n25711						error
598	Off-grid	M1	{424.5690 928.6260} {424.6790 928.6860}	n25712						error
599	Off-grid	M1	{424.7210 928.7780} {424.8310 928.8380}	n25713						error
600	Off-grid	M1	{425.4810 925.2820} {425.5910 925.3420}	n25740						error
601	Off-grid	M1	{453.2970 923.7620} {453.4070 923.8220}	n25923						error
602	Diff net spacing	M1	{779.4390 927.6640} {779.5130 927.8240}	ZBUF_992_2792,VSS						error
603	Diff net spacing	M2	{779.4940 927.7850} {779.6300 927.8550}	ZBUF_992_2792,VSS						error
604	Needs fat contact	M1,M2	{32.7380 938.6330} {32.7980 938.7430}	n52867						error
605	Diff net spacing	M1	{70.9920 933.9980} {71.1520 934.0810}	n53156						error
606	Needs fat contact	M1,M2	{93.9940 933.7690} {94.0540 933.8790}	ZBUF_562_91						error
607	Diff net spacing	M1	{156.7200 944.0300} {156.8800 944.1130}	ZBUF_638_1020						error
608	Diff net spacing	M1	{163.7120 933.9980} {163.8720 934.0810}	HFSNET_1157						error
609	Diff net spacing	M1	{169.1840 938.4310} {169.3440 938.5140}	n138374						error
610	Diff net spacing	M1	{167.3600 940.6860} {167.5200 940.7690}	n138379						error
611	Diff net spacing	M1	{184.5360 933.9980} {184.6960 934.0810}	n44908						error
612	Diff net spacing	M1	{201.1040 937.3420} {201.2640 937.4250}	n138379						error
613	Off-grid	M2	{206.0160 943.8770} {206.0760 944.1390}	n35357						error
614	Off-grid	VIA1	{206.0210 943.9070} {206.0710 944.1090}	n35357						error
615	Diff net spacing	M1	{209.3120 937.3420} {209.4720 937.4250}	n134324						error
616	Diff net spacing	M1	{222.5360 935.0870} {222.6960 935.1700}	n35385						error
617	Needs fat contact	M1,M2	{282.9300 940.4570} {282.9900 940.5670}	n22094						error
618	Off-grid	VIA1	{333.2200 940.5630} {333.2700 940.7650}	n46540						error
619	Off-grid	M2	{333.1900 940.5580} {333.3000 940.7700}	n46540						error
620	Off-grid	M1	{453.4490 940.4820} {453.5590 940.5420}	n25665						error
621	Off-grid	M1	{455.8810 942.1540} {455.9910 942.2140}	n25679						error
622	Off-grid	M1	{498.5930 940.6340} {498.7030 940.6940}	n73015						error
623	Off-grid	M1	{499.0490 940.4820} {499.1590 940.5420}	n73016						error
624	Off-grid	M1	{498.7450 940.3300} {498.8550 940.3900}	n73017						error
625	Off-grid	M1	{664.1510 937.4420} {664.3550 937.4970}	n73353						error
626	Off-grid	M1	{664.2730 938.8100} {664.3830 938.8700}	n73353						error
627	Off-grid	M1	{664.1210 938.6580} {664.2310 938.7180}	ZBUF_694_79						error
628	Off-grid	M2	{64.8080 957.2530} {64.8680 957.5150}	n53004						error
629	Off-grid	VIA1	{64.8130 957.2830} {64.8630 957.4850}	n53004						error
630	Diff net spacing	M1	{86.6480 950.7180} {86.8080 950.8010}	ZBUF_248_3512						error
631	Diff net spacing	M1	{139.2400 957.4060} {139.4000 957.4890}	n20182						error
632	Needs fat contact	M1,M2	{252.0740 955.3530} {252.1340 955.4630}	n65231						error
633	Needs fat contact	M1,M2	{252.5300 957.1770} {252.5900 957.2870}	n65257						error
634	Off-grid	M1	{437.0330 952.0340} {437.1430 952.0940}	n25559						error
635	Off-grid	M1	{533.5530 957.2020} {533.6630 957.2620}	n26078						error
636	Needs fat contact	M1,M2	{58.8820 960.5210} {58.9420 960.6310}	n52971						error
637	Needs fat contact	M1,M2	{242.9540 965.3850} {243.0140 965.4950}	n35318						error
638	Off-grid	M2	{27.6700 978.5580} {27.7800 978.7700}	n63344						error
639	Off-grid	VIA1	{27.7000 978.5630} {27.7500 978.7650}	n63344						error
640	Off-grid	M2	{52.2940 977.3420} {52.4040 977.5540}	n63354						error
641	Off-grid	VIA1	{52.3240 977.3470} {52.3740 977.5490}	n63354						error
642	Needs fat contact	M1,M2	{64.2020 970.5530} {64.2620 970.6630}	n33608						error
643	Needs fat contact	M1,M2	{90.6500 980.5850} {90.7100 980.6950}	n33530						error
644	Diff net spacing	M1	{210.9840 974.1260} {211.1440 974.2090}	n35947						error
645	Diff net spacing	M1	{332.2800 980.8140} {332.4400 980.8970}	n26274						error
646	Needs fat contact	M1,M2	{351.9380 970.5530} {351.9980 970.6630}	n26453						error
647	Off-grid	M2	{32.5340 984.0300} {32.6440 984.2420}	n63356						error
648	Off-grid	VIA1	{32.5640 984.0350} {32.6140 984.2370}	n63356						error
649	Off-grid	M2	{71.4460 991.9340} {71.5560 992.1460}	n33434						error
650	Off-grid	VIA1	{71.4760 991.9390} {71.5260 992.1410}	n33434						error
651	Off-grid	M2	{107.0140 984.0300} {107.1240 984.2420}	n33249						error
652	Off-grid	VIA1	{107.0440 984.0350} {107.0940 984.2370}	n33249						error
653	Off-grid	M2	{164.7740 985.2460} {164.8840 985.4580}	n20042						error
654	Off-grid	VIA1	{164.8040 985.2510} {164.8540 985.4530}	n20042						error
655	Needs fat contact	M1,M2	{185.0420 982.1050} {185.1020 982.2150}	n20709						error
656	Off-grid	M1	{488.7130 983.9540} {488.8230 984.0140}	n51976						error
657	Diff net spacing	M1	{499.4550 984.8160} {499.5290 984.9760}	ZBUF_748_1946,VSS						error
658	Diff net spacing	M2	{499.4940 984.7850} {499.6460 984.8550}	ZBUF_748_1946,VSS						error
659	Off-grid	M2	{24.9340 1004.0940} {25.0440 1004.3060}	n63514						error
660	Off-grid	VIA1	{24.9640 1004.0990} {25.0140 1004.3010}	n63514						error
661	Off-grid	M2	{52.8000 995.2530} {52.8600 995.5150}	n63415						error
662	Off-grid	VIA1	{52.8050 995.2830} {52.8550 995.4850}	n63415						error
663	Off-grid	M2	{77.1200 1005.2850} {77.1800 1005.5470}	n63810						error
664	Off-grid	VIA1	{77.1250 1005.3150} {77.1750 1005.5170}	n63810						error
665	Diff net spacing	M1	{100.6320 995.2790} {100.7920 995.3620}	n136404						error
666	Diff net spacing	M1	{152.3120 995.2790} {152.4720 995.3620}	ZBUF_156_1045						error
667	Diff net spacing	M1	{162.4960 1004.2220} {162.6560 1004.3050}	n20828						error
668	Diff net spacing	M1	{258.7120 997.5340} {258.8720 997.6170}	n22357						error
669	Off-grid	M1	{550.7290 1000.6740} {550.8390 1000.7340}	n130869						error
670	Off-grid	M1	{548.2970 1002.1940} {548.4070 1002.2540}	n130869						error
671	Off-grid	M1	{611.9850 1000.8260} {612.0950 1000.8860}	n45315						error
672	Off-grid	M1	{611.6810 1000.6740} {611.7910 1000.7340}	n45316						error
673	Off-grid	M1	{630.0730 1000.6740} {630.1830 1000.7340}	n45883						error
674	Needs fat contact	M1,M2	{154.7940 1015.5450} {154.8540 1015.6550}	n19836						error
675	Needs fat contact	M1,M2	{150.6900 1007.3370} {150.7500 1007.4470}	n20937						error
676	Diff net spacing	M1	{261.2960 1008.6550} {261.4560 1008.7380}	n22436						error
677	Diff net spacing	M1	{275.7360 1015.3430} {275.8960 1015.4260}	n22512						error
678	Needs fat contact	M1,M2	{341.2980 1017.3690} {341.3580 1017.4790}	n81225						error
679	Off-grid	M1	{794.2330 1014.0500} {794.3430 1014.1100}	n130924						error
680	Diff net spacing	M1	{88.3200 1024.2860} {88.4800 1024.3690}	n50653						error
681	Needs fat contact	M1,M2	{213.3140 1024.0570} {213.3740 1024.1670}	n35210						error
